Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2611,All Houses,999.413,0.037,0.0%,2.4%,4.3%,12.6%,3.9%,5.1%,3 br Houses,827.477,-7.477,-2.8%,-2.0%,-5.9%,8.8%,6.8%,5.3%,All Units,616.729,5.271,-1.0%,3.3%,1.6%,9.2%,6.8%,5.8%,2 br Units,560.338,-0.388,-1.0%,-1.3%,1.6%,8.6%,5.9%,4.6%,Combined,931.437,0.518,-0.2%,2.4%,3.5%,11.9%,4.0%,5.1%,2611
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2612,All Houses,"1,706.032",43.968,-0.3%,-5.1%,44.8%,26.4%,9.6%,9.4%,3 br Houses,"1,723.320",26.680,5.5%,-0.1%,29.3%,16.5%,9.8%,8.6%,All Units,562.120,2.880,0.5%,-1.9%,-5.4%,2.4%,3.5%,2.6%,2 br Units,656.393,8.607,1.9%,2.0%,-1.8%,4.1%,3.8%,3.4%,Combined,965.309,16.447,-0.1%,-4.2%,19.8%,14.5%,6.8%,6.2%,2612
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2614,All Houses,"1,223.605",26.395,3.9%,-5.4%,43.7%,20.1%,11.2%,9.9%,3 br Houses,885.049,-5.049,-1.9%,-19.4%,24.9%,3.1%,6.4%,6.4%,All Units,593.117,-10.617,5.0%,50.5%,13.9%,12.0%,10.5%,6.5%,2 br Units,521.037,-1.037,-2.9%,1.0%,-8.7%,9.0%,10.5%,5.3%,Combined,"1,001.006",13.467,4.1%,2.6%,36.2%,18.2%,11.0%,9.1%,2614
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2615,All Houses,841.369,-1.369,2.7%,1.7%,4.0%,8.0%,6.0%,6.3%,3 br Houses,763.696,1.304,1.3%,1.2%,2.0%,9.3%,6.6%,6.0%,All Units,675.748,-0.748,2.8%,-7.0%,13.0%,10.9%,11.0%,6.7%,2 br Units,582.142,-2.142,-1.6%,-23.8%,14.2%,8.7%,9.3%,5.5%,Combined,815.452,-1.242,2.8%,0.5%,5.1%,8.5%,6.6%,6.4%,2615
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2616,All Houses,433.417,0.000,0.0%,0.0%,0.0%,-1.1%,2.7%,1.0%,3 br Houses,573.208,0.000,0.0%,0.0%,0.0%,-1.1%,6.3%,2.8%,All Units,409.550,0.000,0.0%,0.0%,0.0%,2.8%,1.8%,0.8%,2 br Units,365.250,0.000,0.0%,0.0%,0.0%,0.0%,-0.7%,-0.8%,Combined,413.418,0.000,0.0%,0.0%,0.0%,2.0%,2.0%,0.8%,2616
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2617,All Houses,994.866,-1.916,-4.2%,0.8%,10.1%,12.0%,8.7%,6.8%,3 br Houses,912.067,6.833,-4.7%,-6.4%,1.8%,8.2%,7.2%,6.2%,All Units,514.799,5.201,3.2%,2.2%,-1.5%,7.0%,4.3%,2.9%,2 br Units,547.684,1.316,1.8%,2.1%,-3.7%,4.6%,4.6%,3.5%,Combined,729.971,1.412,-1.5%,1.2%,4.8%,9.5%,6.6%,5.1%,2617
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2618,All Houses,"1,719.287",-29.287,-20.4%,-8.0%,16.6%,5.2%,6.2%,2.8%,3 br Houses,976.667,0.000,0.0%,0.0%,0.0%,0.0%,0.0%,1.0%,All Units,0.000,0.000,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2 br Units,0.000,0.000,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Combined,"1,510.824",-25.183,-20.3%,-7.9%,16.7%,5.3%,6.3%,2.8%,2618
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2620,All Houses,"1,078.300",1.700,-2.2%,-2.0%,13.0%,11.9%,8.2%,5.9%,3 br Houses,801.108,-1.158,-5.5%,-6.5%,0.6%,10.1%,6.2%,5.4%,All Units,549.650,-0.150,-0.5%,-7.5%,14.1%,15.2%,9.3%,4.9%,2 br Units,479.067,-0.067,-0.2%,-5.9%,2.7%,13.3%,8.3%,4.0%,Combined,880.891,1.505,-1.8%,-3.2%,14.1%,13.3%,8.7%,5.8%,2620
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2900,All Houses,716.705,-4.255,-5.1%,26.3%,16.3%,-1.5%,8.3%,2.5%,3 br Houses,775.937,-0.037,-0.1%,-14.5%,-5.9%,3.6%,6.0%,3.5%,All Units,494.610,0.390,-0.8%,0.7%,-0.7%,-2.0%,3.5%,2.1%,2 br Units,493.687,1.313,1.9%,-0.1%,-6.2%,5.6%,2.8%,2.3%,Combined,598.100,-2.435,-3.4%,13.4%,7.6%,-2.4%,5.9%,2.1%,2900
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2902,All Houses,851.657,-2.657,-1.2%,-4.0%,3.6%,7.6%,5.9%,5.6%,3 br Houses,811.885,-4.885,-0.9%,-0.8%,8.7%,13.7%,7.8%,6.2%,All Units,569.574,-7.174,-17.1%,-3.2%,-34.2%,-0.1%,8.3%,4.6%,2 br Units,560.959,1.441,-0.2%,-3.3%,3.7%,6.0%,8.1%,4.8%,Combined,809.923,-3.307,-3.1%,-3.9%,-2.3%,6.7%,6.2%,5.5%,2902
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2903,All Houses,948.781,0.219,0.6%,1.1%,8.7%,14.5%,6.7%,5.8%,3 br Houses,788.545,-8.545,-1.0%,-4.9%,-0.6%,9.6%,6.5%,5.7%,All Units,516.980,-0.313,-0.9%,-15.0%,9.4%,2.8%,5.4%,2.1%,2 br Units,470.024,-0.024,-0.1%,-5.0%,-0.5%,0.2%,3.7%,1.2%,Combined,867.308,0.413,0.4%,-1.0%,9.0%,13.0%,6.6%,5.3%,2903
