Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2611,All Houses,797.44,-0.44,-0.7%,2.3%,11.6%,3.6%,6.1%,5.6%,3 br Houses,648.11,1.89,1.3%,-3.0%,-2.8%,2.0%,3.9%,3.8%,All Units,599.61,-4.61,-5.4%,2.1%,3.8%,2.7%,4.9%,4.6%,2 br Units,567.33,-2.33,-2.6%,-1.3%,0.3%,4.0%,4.0%,4.4%,Combined,724.43,-1.98,-2.2%,2.0%,8.4%,2.9%,5.5%,5.2%,2611
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2612,All Houses,846.73,3.27,-11.6%,3.4%,8.8%,1.4%,1.9%,3.1%,3 br Houses,710.61,-10.61,-15.4%,-11.7%,-5.2%,-2.1%,1.1%,2.4%,All Units,590.10,9.90,1.5%,0.2%,-0.2%,2.0%,3.3%,3.0%,2 br Units,675.59,-15.59,-2.3%,3.1%,3.1%,1.6%,3.7%,3.5%,Combined,647.80,8.41,-2.8%,1.1%,2.2%,1.7%,2.8%,3.0%,2612
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2614,All Houses,700.62,-0.62,-2.0%,2.1%,4.4%,5.1%,5.2%,4.9%,3 br Houses,665.39,-10.39,-1.6%,7.6%,7.0%,4.0%,5.0%,4.5%,All Units,519.84,-1.84,-2.6%,-2.0%,-4.2%,8.0%,4.6%,4.0%,2 br Units,500.70,-0.70,-2.0%,2.0%,-3.8%,7.4%,4.8%,3.8%,Combined,636.01,-1.06,-2.1%,0.9%,1.7%,6.1%,5.1%,4.7%,2614
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2615,All Houses,663.06,-13.06,0.6%,3.3%,1.9%,7.1%,4.7%,4.6%,3 br Houses,627.35,-17.35,-3.1%,1.5%,0.0%,6.5%,5.2%,4.3%,All Units,572.95,22.05,4.7%,-5.6%,12.6%,2.1%,5.5%,4.3%,2 br Units,516.52,13.48,1.2%,-2.8%,3.0%,5.2%,4.3%,3.9%,Combined,644.65,-5.89,1.4%,1.6%,3.8%,6.1%,4.9%,4.6%,2615
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2616,All Houses,369.59,0.41,-1.0%,-0.8%,-4.2%,1.0%,0.0%,0.0%,3 br Houses,434.85,45.15,10.2%,11.1%,10.4%,30.6%,0.0%,0.0%,All Units,377.39,12.61,8.4%,-2.8%,-1.4%,-1.9%,1.1%,0.8%,2 br Units,398.63,1.37,1.4%,-2.4%,2.0%,-0.7%,1.9%,1.3%,Combined,375.77,10.08,6.3%,-2.4%,-2.0%,-1.3%,4.4%,3.1%,2616
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2617,All Houses,682.28,-7.28,-2.0%,-0.4%,-1.7%,5.0%,5.1%,4.1%,3 br Houses,664.85,0.15,-1.2%,0.2%,6.9%,4.6%,4.7%,4.3%,All Units,579.56,-4.56,-3.4%,0.9%,3.9%,6.2%,5.0%,3.8%,2 br Units,578.93,1.07,-0.3%,-0.4%,0.3%,3.8%,4.6%,3.7%,Combined,614.66,-5.49,-2.9%,0.4%,1.6%,5.7%,5.0%,3.9%,2617
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2618,All Houses,710.50,-7.50,-13.7%,10.6%,11.3%,-2.5%,6.5%,1.7%,3 br Houses,702.85,0.15,0.3%,9.8%,7.8%,10.1%,3.7%,4.0%,All Units,451.50,-1.50,-4.7%,-14.5%,-14.5%,-5.1%,0.0%,0.0%,2 br Units,528.00,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Combined,682.99,-6.86,-13.1%,8.3%,8.4%,-3.0%,7.1%,2.1%,2618
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2620,All Houses,698.25,-0.25,0.8%,-4.9%,0.5%,5.9%,5.1%,5.1%,3 br Houses,681.33,1.67,2.4%,1.9%,5.7%,7.6%,5.4%,4.8%,All Units,436.15,1.85,-2.9%,0.2%,6.7%,4.5%,6.4%,3.8%,2 br Units,449.27,0.73,-0.7%,-0.6%,2.2%,6.4%,5.5%,4.1%,Combined,522.29,1.16,-1.3%,-2.0%,4.5%,5.5%,6.0%,4.5%,2620
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2900,All Houses,693.58,-0.58,-0.2%,3.6%,-4.6%,-2.4%,3.5%,4.8%,3 br Houses,687.23,-1.23,-0.6%,2.9%,-4.1%,-2.7%,4.1%,4.7%,All Units,519.56,-1.56,-0.8%,-2.9%,7.7%,3.3%,2.1%,2.1%,2 br Units,529.20,0.80,0.0%,-1.4%,-1.2%,3.0%,1.9%,2.2%,Combined,541.29,-1.44,-0.8%,-2.0%,5.0%,2.0%,2.2%,2.5%,2900
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2902,All Houses,703.30,-13.30,3.0%,7.8%,5.5%,2.5%,4.1%,4.6%,3 br Houses,661.44,18.56,1.3%,2.7%,8.9%,5.5%,5.5%,4.7%,All Units,586.95,63.05,14.8%,7.0%,5.5%,9.3%,5.3%,4.7%,2 br Units,512.44,-4.44,2.5%,-4.0%,-2.3%,6.0%,4.0%,3.8%,Combined,675.81,4.74,5.2%,7.6%,5.6%,3.8%,4.4%,4.7%,2902
